time,x,y,z,vx,vy,vz
2190.0,-5.34699559208385e6,4.137230661049145e6,0.0,-4699.5340567074,-6084.815473039981,0.0
2200.0,-5.393644562536006e6,4.076116595862382e6,0.0,-4630.159253106934,-6137.866251312776,0.0
2210.0,-5.439596776461371e6,4.0144759738221485e6,0.0,-4560.184250686616,-6190.125698317069,0.0
2220.0,-5.484846276984192e6,3.952316742432848e6,0.0,-4489.618085071027,-6241.586992863935,0.0
2230.0,-5.529387197977066e6,3.889646916894583e6,0.0,-4418.469870108442,-6292.243417155984,0.0
2240.0,-5.573213764837244e6,3.826474579064662e6,0.0,-4346.748796682563,-6342.088357700307,0.0
2250.0,-5.616320295250998e6,3.7628078764100485e6,0.0,-4274.464131513241,-6391.115306207645,0.0
2260.0,-5.658701199945943e6,3.6986550209508855e6,0.0,-4201.625215946349,-6439.317860477642,0.0
2270.0,-5.700350983431201e6,3.634024288195239e6,0.0,-4128.241464732963,-6486.689725270042,0.0
2280.0,-5.741264244725304e6,3.5689240160652003e6,0.0,-4054.3223647980344,-6533.224713161685,0.0
2290.0,-5.78143567807173e6,3.5033626038144906e6,0.0,-3979.8774739987,-6578.916745389186,0.0
2300.0,-5.820860073641982e6,3.437348510937708e6,0.0,-3904.9164198724225,-6623.759852677142,0.0
2310.0,-5.859532318226084e6,3.3708902560713687e6,0.0,-3829.448898375113,-6667.748176051755,0.0
2320.0,-5.897447395910417e6,3.303996415886884e6,0.0,-3753.4846726094283,-6710.875967639729,0.0
2330.0,-5.934600388742786e6,3.2366756239756234e6,0.0,-3677.033571543402,-6753.137591452329,0.0
2340.0,-5.97098647738463e6,3.1689365697262087e6,0.0,-3600.1054887195987,-6794.527524154457,0.0
2350.0,-6.00660094175027e6,3.1007879971941975e6,0.0,-3522.710380954965,-6835.040355818648,0.0
2360.0,-6.041439161633122e6,3.032238703964299e6,0.0,-3444.8582670315595,-6874.6707906638485,0.0
2370.0,-6.075496617318754e6,2.96329754000528e6,0.0,-3366.5592263783474,-6913.413647778863,0.0
2380.0,-6.108768890184737e6,2.893973406517714e6,0.0,-3287.823397744237,-6951.263861830364,0.0
2390.0,-6.141251663287166e6,2.8242752547747255e6,0.0,-3208.6609778625516,-6988.216483755335,0.0
2400.0,-6.172940721933797e6,2.7542120849558925e6,0.0,-3129.0822201071214,-7024.266681437855,0.0
2410.0,-6.203831954243696e6,2.683792944974455e6,0.0,-3049.097433140183,-7059.409740370105,0.0
2420.0,-6.23392135169333e6,2.6130269292979967e6,0.0,-2968.716979552279,-7093.64106429749,0.0
2430.0,-6.263205009649017e6,2.5419231777627524e6,0.0,-2887.951274494351,-7126.9561758477785,0.0
2440.0,-6.291679127885656e6,2.4704908743817066e6,0.0,-2806.8107843022153,-7159.350717144162,0.0
2450.0,-6.319340011091673e6,2.398739246146641e6,0.0,-2725.306025113623,-7190.820450402127,0.0
